x,y,laneInd,pointInd,z,isStopLine,arrayJunctionId,arrayTrafficLight,arrayTrafficSign
11.5408448029,-31.5059878256,1,0,0,0,-1,-1,-1
10.1334787631,-30.7849060011,1,1,0,0,-1,-1,-1
8.83410035098,-29.8554519512,1,2,0,0,-1,-1,-1
7.95298823441,-28.3472091349,1,3,0,0,-1,-1,-1
7.73632365667,-26.4003988481,1,4,0,0,-1,-1,-1
8.015013527,-24.6037975296,1,5,0,0,-1,-1,-1
8.5558730887,-23.0363926071,1,6,0,0,-1,-1,-1
9.3224250695,-20.8610423913,1,7,0,0,-1,-1,-1
11.7115831084,-14.3967387621,1,8,0,0,-1,-1,-1
14.579129763,-7.0230473648,1,9,0,0,-1,-1,-1
17.313333797,-0.0124296237764,1,10,0,0,-1,-1,-1
20.1530673243,6.7232755668,1,11,0,0,-1,-1,-1
22.6161912186,13.2648930619,1,12,0,0,-1,-1,-1
25.1125290004,20.2884849606,1,13,0,0,-1,-1,-1
27.874653013,27.6386822915,1,14,0,0,-1,-1,-1
30.3380437983,34.5266636248,1,15,0,0,-1,-1,-1
32.866246348,41.4893476703,1,16,0,0,-1,-1,-1
35.3084653382,48.4282353401,1,17,0,0,-1,-1,-1
37.7602523735,55.7837793429,1,18,0,0,-1,-1,-1
39.5354003025,60.754193544,1,19,0,1,3,-1,-1
40.6535689578,63.3679520979,1,20,0,0,-1,-1,-1
42.4850066634,65.5225846927,1,21,0,0,-1,-1,-1
45.0705657771,66.7345655272,1,22,0,0,-1,-1,-1
47.7258810227,67.4669453432,1,23,0,0,-1,-1,-1
51.1795756569,67.5357648367,1,24,0,0,-1,-1,-1
55.1652006245,67.5901741656,1,25,0,0,-1,-1,-1
57.9662229976,67.555161386,1,26,0,0,-1,-1,-1
60.5571686928,67.2750591486,1,27,0,0,-1,-1,-1
63.1831271677,66.8549057927,1,28,0,0,-1,-1,-1
66.0120655554,67.1000931131,1,29,0,0,-1,-1,-1
68.5154793014,67.9649087708,1,30,0,0,-1,-1,-1
70.1856831006,69.1307364709,1,31,0,0,-1,-1,-1
71.6912326262,71.0564393524,1,32,0,0,-1,-1,-1
73.0567310331,72.8420911153,1,33,0,0,-1,-1,-1
74.5599463725,75.111992645,1,34,0,0,-1,-1,-1
76.4161867002,77.7815966504,1,35,0,0,-1,-1,-1
78.9213520833,81.4464776829,1,36,0,0,-1,-1,-1
81.2699077145,84.9245806332,1,37,0,0,-1,-1,-1
85.9704518353,92.3744677769,1,38,0,0,-1,-1,-1
87.2750818714,94.7846936632,1,39,0,0,-1,-1,-1
88.0022703721,97.3433198694,1,40,0,0,-1,-1,-1
88.6217272431,100.8984636508,1,41,0,0,-1,-1,-1
89.0526537621,105.126930118,1,42,0,0,-1,-1,-1
89.7529093553,111.3484317353,1,43,0,0,-1,-1,-1
90.5221131917,118.6375538033,1,44,0,0,-1,-1,-1
91.5524,126.3174,1,45,0,0,-1,-1,-1
92.3974,133.7563,1,46,0,0,-1,-1,-1
93.1566,140.8494,1,47,0,0,-1,-1,-1
93.9951,148.8481,1,48,0,0,-1,-1,-1
94.8886,156.9142,1,49,0,0,-1,-1,-1
95.4934,162.7089,1,50,0,0,-1,-1,-1
96.3672,170.8087,1,51,0,0,-1,-1,-1
97.1892,178.2528,1,52,0,0,-1,-1,-1
97.9828,185.4022,1,53,0,0,-1,-1,-1
99.3449156393,196.2128877742,1,54,0,0,-1,-1,-1
100.1102978695,203.8824866991,1,55,0,0,-1,-1,-1
100.2373942597,206.3193761637,1,56,0,0,-1,-1,-1
100.1323559207,208.8753090792,1,57,0,0,-1,-1,-1
99.6071642258,211.2911908761,1,58,0,0,-1,-1,-1
98.4867552765,213.7770982323,1,59,0,0,-1,-1,-1
96.7361162933,216.5080950461,1,60,0,0,-1,-1,-1
91.1690843266,223.720727657,1,61,0,0,-1,-1,-1
86.0456,230.004,1,62,0,0,-1,-1,-1
81.2169,235.6604,1,63,0,0,-1,-1,-1
76.496,241.281,1,64,0,0,-1,-1,-1
72.1596,246.4056,1,65,0,0,-1,-1,-1
67.0792,252.4268,1,66,0,0,-1,-1,-1
62.6296775729,258.0458351637,1,67,0,0,-1,-1,-1
57.8959497622,263.6671369388,1,68,0,0,-1,-1,-1
54.227310709,268.4008647495,1,69,0,0,-1,-1,-1
50.3219852652,271.8328174122,1,70,0,0,-1,-1,-1
46.6053806339,273.5916826632,1,71,0,0,-1,-1,-1
41.9459876477,274.5612673308,1,72,0,0,-1,-1,-1
34.7929787628,275.4339139208,1,73,0,0,-1,-1,-1
27.2827375248,276.2076963514,1,74,0,0,-1,-1,-1
19.4811899599,276.9059212034,1,75,0,0,-1,-1,-1
12.4811899599,277.5213058188,1,76,0,0,-1,-1,-1
4.731100408,278.3150455338,1,77,0,0,-1,-1,-1
-2.3253213398,279.0960998494,1,78,0,0,-1,-1,-1
-9.6510721619,279.8232883501,1,79,0,0,-1,-1,-1
